entities
id,address,slug,name,description,verified_at,settings,sc_version,parent_id,tx,created_at
1,erd1qqqqqqqqqqqqqpgqrqlfjlhnm875uyqeza4n932zv3l6mhah27rs8l64mx,superciety-dao,Superciety DAO,Building the society of tomorrow together⚡️,2022-07-23T16:21:20.000000Z,"{""quorum"": ""10000000000000000000000"", ""socials"": {""github"": ""https://github.com/superciety"", ""discord"": ""http://superciety.chat"", ""twitter"": ""https://twitter.com/SupercietyHQ"", ""website"": ""https://superciety.com"", ""telegram"": ""https://t.me/SupercietyCommunity""}, ""gov_token"": ""SUPER-507aa6"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmRNVmjDoQCuE8HCs3MyRgPkpeDtgBMHzp3L484MnmZhjo"", ""gov_token_name"": ""SUPER"", ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""5000000000000000000000""}",1.0.0,,0f44c25b55f1f6b80ce7f03a426230d680b01dc7dd5a981a9bc0bb93cf62d335,2022-07-22T20:59:26.000000Z
2,erd1qqqqqqqqqqqqqpgq7764udyhgll20qg4zxr6k2pl88ska78p27rsqfrk4p,burn-dao,Burn DAO,"A fitness DAO where we motivate each other to burn calories together.
Health is wealth.",,"{""quorum"": ""20000000000000000000000"", ""socials"": {""discord"": ""https://discord.gg/FY2zpugP"", ""twitter"": ""https://twitter.com/OfficialBurnDAO""}, ""gov_token"": ""BURN-68d4b2"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmYaQj76RV4KsDbukQWKyQu8pN3a7TvyqXRqkedbttTzJo/burnDAO.png"", ""gov_token_name"": ""BURN"", ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 2880, ""min_proposal_vote_weight"": ""5000000000000000000000""}",1.0.0,,c98a5f005237fe9e3b0388b7f544207464bc9234f9797e7166d957a030d2c535,2022-07-25T07:58:48.000000Z
3,erd1qqqqqqqqqqqqqpgqp3mmvhapz2ex6wkjfx90842dch98rj6s27rs7u7vu9,mrkhrfbek,mrkhrfbek,testerngbvjrhbg,,"{""quorum"": ""1"", ""gov_token"": ""KOSONBIS-904930"", ""gov_token_nft"": false, ""gov_token_name"": ""KOSONBIS"", ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,e9915a021fc84e79acf5c9a8c5e0de1e840326641da02b5b8a2859784aae4310,2022-08-09T14:07:58.000000Z
4,erd1qqqqqqqqqqqqqpgqqz8zk9u6x59ltpq0ad5un02egfkzrws227rsk5slwh,esdtmarket-dao,EsdtMarket DAO,A peer-to-peer ESDT Market designed for trustless swaps and full decentralization,2022-08-18T15:42:06.000000Z,"{""quorum"": ""10000000000000000000000"", ""socials"": {""twitter"": ""https://twitter.com/EsdtMarket"", ""website"": ""https://esdt.market"", ""telegram"": ""https://t.me/EsdtMarket""}, ""gov_token"": ""MKT-a7282b"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmXD9GoyunJHHC9ULipiNe8Ax1YipEcCZEWSkG7hTia8nj/Frame16.png"", ""gov_token_nft"": false, ""gov_token_name"": ""MKT"", ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 2880, ""min_proposal_vote_weight"": ""100000000000000000000""}",1.0.0,,3eca853638e5770a7f83864915e453758613c8a15b5b588bcf3f1b71b66d842e,2022-08-16T01:08:51.000000Z
5,erd1qqqqqqqqqqqqqpgq3sju67808muwatjkdeu50sd4fgx5zmjf27rsf8tvr3,landboard-dao,Landboard DAO,"Decentralized governance for Landboard, Elrond's first Metaverse ecosystem.",2022-08-25T13:11:09.000000Z,"{""quorum"": ""10000000000000000000000"", ""socials"": {""github"": ""https://github.com/landboard-io/"", ""discord"": ""https://discord.gg/Rff4bFrCSD"", ""twitter"": ""https://twitter.com/landboard_io"", ""website"": ""https://landboard.io"", ""youtube"": ""https://www.youtube.com/channel/UC94huuy90LB1X-VI0nmjNOQ"", ""telegram"": ""https://t.me/landboardio""}, ""gov_token"": ""LAND-40f26f"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmcZ95dUxMvGNpYcWeaK5dgeDScyBN9a3KTgX2aLm1VVts/landboard.jpeg"", ""gov_token_nft"": false, ""gov_token_name"": ""Landboard"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""5000000000000000000000""}",1.0.0,,0b0510e180c2a70ee128f04950cc2fd871d1783bf4ce07651ee535c35c511236,2022-08-24T16:51:39.000000Z
6,erd1qqqqqqqqqqqqqpgqfazycdswmpdpx2xuztt6k4w4s8v98t8727rsktjeqv,dragons-arena-dao,Dragons Arena DAO,Dragons Arena is a MOBA PTE (Play To Earn) game based on the ⚡ Elrond blockchain technology!,2022-08-30T12:50:54.000000Z,"{""quorum"": ""10"", ""socials"": {""discord"": ""https://discord.com/invite/dragonsarena"", ""twitter"": ""https://twitter.com/DragonsArena_io"", ""website"": ""https://dragonsarena.io/"", ""youtube"": ""https://www.youtube.com/channel/UCfvtFHchVbm2EnM5vW9AcIA/videos"", ""telegram"": ""https://t.me/dragonsarena_io""}, ""gov_token"": ""DRG-875e1a"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmYYsQBWWto5NDVGbu26YY5nTRXEmuUmU72CBW747PxYqz/5587.png"", ""gov_token_nft"": true, ""gov_token_name"": ""DragonsArena"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 2880, ""min_proposal_vote_weight"": ""1""}",1.0.0,,c8caf8d797371fccbe79fb19049b6cb75895ddb4334bea22521b00b81f82eded,2022-08-29T10:22:16.000000Z
7,erd1qqqqqqqqqqqqqpgqjctq24rayr3nydcvu8fg34vdvv9wy7xq27rs3e9yaw,artcpaclub-founders-dao,ArtCPAclub Founders DAO,ArtCPAclub NFT DAO created for our Founders NFT owners. Shape the future by creating proposals and voting with your NFTs.,2022-09-02T13:41:49.000000Z,"{""quorum"": ""4"", ""socials"": {""discord"": ""https://discord.gg/jmfjQESvJY"", ""twitter"": ""https://twitter.com/_Official_CPA"", ""website"": ""https://artcpaclub.com/"", ""telegram"": ""https://t.me/ArtCPAclub_Official""}, ""gov_token"": ""CPA-76d979"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmSsgvd8nnZL4aqqfG3QhU8G5gdVab4FECDzZRD1Avbzkn"", ""gov_token_nft"": true, ""gov_token_name"": ""ArtCPAclubFounders"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""2""}",1.0.0,,09228feb970927c78190b3779e15093672e7f76257df7ab31cf88fc06a00d228,2022-09-01T09:40:55.000000Z
8,erd1qqqqqqqqqqqqqpgqq0yx7w5lguw5e5067j2lpl96t5vp3xcu27rswu3eq4,boycottaustria,boycottaustria,"Decentralized community project.
Web3 experience.",,"{""quorum"": ""5"", ""socials"": {""twitter"": ""https://twitter.com/ebudsNFT"", ""telegram"": ""https://t.me/ElrondBuds""}, ""gov_token"": ""BUD-3ee0cf"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmbFx4yXFrWCWXEBxSCWgn7qagV4fPjd4ZGPd6ugu7r3LY/678.png"", ""gov_token_nft"": true, ""gov_token_name"": ""eBuds"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""3""}",1.0.0,,2d9991f1caa0fa79281333ae47d67220040fed45249f6997ec9a461069aa1ebc,2022-09-05T17:04:03.000000Z
9,erd1qqqqqqqqqqqqqpgqsx65eu9em8e829lp0tr0smt358h20l3327rsj54xzz,ghostverse-dao,GhostVerse DAO,Get a Mr Ghost NFT and join the DAO to make decisions.,2022-09-06T00:00:00.000000Z,"{""quorum"": ""114"", ""socials"": {""github"": ""https://github.com/GhostVerseOrg"", ""discord"": ""https://discord.gg/tXSeJfVVnH"", ""twitter"": ""https://twitter.com/GhostverseOrg"", ""website"": ""https://ghostverse.org/""}, ""gov_token"": ""MRG-1c3ba4"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmeASSx1GtQfo2XX8d9A5yHA2k25zyZdvB64H4NuFNnxa8/2315.png"", ""gov_token_nft"": true, ""gov_token_name"": ""MaiarGhosts"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,698e8e52eab76dbea1405d1463c58809ce7d825758e205fa968f01e9ab950893,2022-09-06T04:03:42.000000Z
10,erd1qqqqqqqqqqqqqpgqztjaxafcz7d90ps4k4pda7vxfvfjaplr27rskc422w,plata-network,Plata Network,Racing themed project built on MultiversX,2022-09-12T00:00:00.000000Z,"{""quorum"": ""50000000000000"", ""socials"": {""twitter"": ""https://www.twitter.com/plataNetwork"", ""website"": ""https://plata.network"", ""youtube"": ""https://www.youtube.com/channel/UC2JFtYoRnk2B0L2ZNAtqkfQ"", ""telegram"": ""https://t.me/plataNetwork""}, ""gov_token"": ""PLATA-9ba6c3"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/bafybeiho74jh6hiksoez2zbiwy64xz5tigb34523cchrgck22a2fsofso4/item.png"", ""gov_token_nft"": false, ""gov_token_name"": ""PLATA"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 8, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""50000000000000""}",1.0.0,,e9376e821415746d4f0cfd992bbcdbe93f6ca3758f58c37d468a7613f853ecc6,2022-09-07T10:07:38.000000Z
